incidente_zona_limpia_normalizado,incidente_zona_limpia_mapeado
Zona limpia,Zona limpia - No visitado
Zona limpia - No visitado,Zona limpia - No visitado
Zona limpia - Limpio - No intervenido,Zona limpia - Limpio - No intervenido
Zona limpia - Basura fuera del contenedor,Zona limpia - Basura fuera
Zona limpia - Basura fuera,Zona limpia - Basura fuera
Zona limpia - No se encuentra,Zona limpia - No se encuentra
Zona limpia - Contenedor desbordado,Zona limpia - Contenedor desbordado
Zona limpia - Voluminosos,Zona limpia - Voluminosos
Zona limpia - No se pudo realizar,Zona limpia - No se pudo realizar
Zona limpia - Sucio no realizado,Zona limpia - No se pudo realizar
